RevisionID:,0106.0036.0012.0002.0022
File Name:,HC900-C75S Rev 7.2x : WEB_SIS_241224 *
Controller Name,WEBSIS
Title:,
Author:,
Created Date:,2/14/2005 7:38:48 AM
Modified Date:,12/24/2024 5:25:30 AM

Report Title:,Modbus Signal Tags and Variables Report [Process & Safety]

Hex Addr,Dec Addr,Tag Name,Description,Type,#,Data Type,EU,Decimal Places,Tag Type,'On' Label,'Off' Label,Initial/Source
0x1AAA,6827,LZIT-627_ACK,Acknowledge,Variable,246,float 32, , ,Digital,ON,OFF,OFF
0x1AAC,6829,LZIT-627_DELAY,,Variable,247,float 32,,1,Analog, , ,0.00
0x1AAE,6831,LZIT-627_LL_V,,Variable,248,float 32,,0,Analog, , ,300.00
0x1AB0,6833,LZIT-627_HH_V,,Variable,249,float 32,,0,Analog, , ,3000.00
0x1AB2,6835,LZIT-627_RL,,Variable,250,float 32,,0,Analog, , ,0.00
0x1AB4,6837,LZIT-627_RH,,Variable,251,float 32,,0,Analog, , ,3000.00
0x1AB6,6839,LZIT-627,,Variable,252,float 32,,0,Analog, , ,0.00
0x1AB8,6841,LZIT-629_MOS,,Variable,253,float 32, , ,Digital,ON,OFF,OFF
0x1ABA,6843,LZIT-629_MANON,,Variable,254,float 32, , ,Digital,ON,OFF,OFF
0x1ABC,6845,LZIT-629_ACK,Acknowledge,Variable,255,float 32, , ,Digital,ON,OFF,OFF
0x1ABE,6847,LZIT-629_DELAY,,Variable,256,float 32,,1,Analog, , ,0.00
0x1AC0,6849,LZIT-629_LL_V,,Variable,257,float 32,,0,Analog, , ,300.00
0x1AC2,6851,LZIT-629_HH_V,,Variable,258,float 32,,0,Analog, , ,3000.00
0x1AC4,6853,LZIT-629_RL,,Variable,259,float 32,,0,Analog, , ,0.00
0x1AC6,6855,LZIT-629_RH,,Variable,260,float 32,,0,Analog, , ,3000.00
0x1AC8,6857,LZIT-629,,Variable,261,float 32,,0,Analog, , ,0.00
0x1ACA,6859,PZIT-W201C,,Variable,262,float 32,,0,Analog, , ,0.00
0x1ACC,6861,PZIT-W201C_RH,,Variable,263,float 32,,0,Analog, , ,100.00
0x1ACE,6863,PZIT-W201C_RL,,Variable,264,float 32,,0,Analog, , ,0.00
0x1AD0,6865,PZIT-W201C_HH_V,,Variable,265,float 32,,0,Analog, , ,100.00
