Tag No.,Tag Service,EU,P&ID No.,IO Type,System
100-PZIT-W207A,TO WEB PLATFORM MANIFOLD,,80289-PRO-PID-1001,AI,SIS
100-PZIT-W208B,TO WEB PLATFORM MANIFOLD,,80289-PRO-PID-1002,AI,SIS
100-PZIT-W207B,TO WEB PLATFORM MANIFOLD,,80289-PRO-PID-1002,AI,SIS
100-PZIT-W208C,TO WEB PLATFORM MANIFOLD,,80289-PRO-PID-1003,AI,SIS
100-PZIT-W207C,TO WEB PLATFORM MANIFOLD,,80289-PRO-PID-1003,AI,SIS
100-LZIT-605B,ON 100-V-001 VENT/CLOSED DRAIN KNOCKOUT DRUM,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,SIS
100-PZIT-219-2,TO WEB PIPELINE PIG RECEIVER AT ONSHORE,,80289-PRO-PID-1008,AI,SIS
100-PZIT-230-2,FROM PAPYRUS PIPELINE PIG LAUNCHER,,80289-PRO-PID-1017,AI,SIS
100-PZIT-W208D,TO WEB PLATFORM MANIFOLD,,80289-PRO-PID-1004,AI,SIS
100-PZIT-W207D,TO WEB PLATFORM MANIFOLD,,80289-PRO-PID-1004,AI,SIS
100-ZZT-908,100-BDV-908- BLOW DOWN VALVE,,80289-PRO-PID-1007,AI,SIS
100-ZZT-906,100-SDV-906 POSITION TRANSMITTER,,80289-PRO-PID-1008,AI,SIS
100-LZIT-602,ON 100-TK-004 DIESEL STORAGE TANK,,80289-PRO-PID-1009,AI,SIS
